metric,estimator,estimate,config,null_model_avg,seed,model,percent_change
mae,standard,125.64039979166672,Preprocessor1_Model1,156.783671875,3435,taxaHFE_ML_supplement_users,-19.863849156539143
mae,standard,136.3229967410715,Preprocessor1_Model1,169.98177734375,3635,taxaHFE_ML_supplement_users,-19.801405261583515
mae,standard,156.0080711390693,Preprocessor1_Model1,155.776240234375,3761,taxaHFE_ML_supplement_users,0.1488230197015294
mae,standard,133.32278279040406,Preprocessor1_Model1,160.667802734375,3768,taxaHFE_ML_supplement_users,-17.01960161189186
mae,standard,132.9684973958333,Preprocessor1_Model1,170.0037890625,3855,taxaHFE_ML_supplement_users,-21.784980129502337
mae,standard,143.67072961309535,Preprocessor1_Model1,159.720986328125,4004,taxaHFE_ML_supplement_users,-10.048934134464082
mae,standard,155.96156976190474,Preprocessor1_Model1,161.4334375,4113,taxaHFE_ML_supplement_users,-3.389550407173394
mae,standard,138.8574363690476,Preprocessor1_Model1,160.066669921875,4126,taxaHFE_ML_supplement_users,-13.250249763538621
mae,standard,124.00632215524604,Preprocessor1_Model1,160.36693359375,4210,taxaHFE_ML_supplement_users,-22.67338448374562
mae,standard,142.26458260664683,Preprocessor1_Model1,156.78212890625,4449,taxaHFE_ML_supplement_users,-9.25969458437711
mae,standard,188.61173893668837,Preprocessor1_Model1,172.814169921875,4452,taxaHFE_ML_supplement_users,9.14136208966838
mae,standard,138.23551298115078,Preprocessor1_Model1,169.00115234375,4605,taxaHFE_ML_supplement_users,-18.204396204365285
mae,standard,142.03030745535713,Preprocessor1_Model1,158.212119140625,4657,taxaHFE_ML_supplement_users,-10.227921712422578
mae,standard,160.33241023809526,Preprocessor1_Model1,156.99291015625,4661,taxaHFE_ML_supplement_users,2.1271661749066095
mae,standard,133.8049419162434,Preprocessor1_Model1,158.917294921875,4761,taxaHFE_ML_supplement_users,-15.802152319530126
mae,standard,166.66799523313497,Preprocessor1_Model1,161.08623046875,4957,taxaHFE_ML_supplement_users,3.465078764424761
mae,standard,160.62824981646818,Preprocessor1_Model1,157.785146484375,5041,taxaHFE_ML_supplement_users,1.8018827471664056
mae,standard,169.05477588676945,Preprocessor1_Model1,151.8623828125,5055,taxaHFE_ML_supplement_users,11.321034713050961
mae,standard,130.5542855908613,Preprocessor1_Model1,164.904541015625,5114,taxaHFE_ML_supplement_users,-20.830387819040684
mae,standard,147.02703034970224,Preprocessor1_Model1,166.158408203125,5274,taxaHFE_ML_supplement_users,-11.513939053890706
mae,standard,149.81749000000002,Preprocessor1_Model1,156.98149414062502,5367,taxaHFE_ML_supplement_users,-4.563597881293853
mae,standard,127.03312066964288,Preprocessor1_Model1,166.1429296875,5508,taxaHFE_ML_supplement_users,-23.539857574089467
mae,standard,128.33116114583336,Preprocessor1_Model1,170.4303515625,5881,taxaHFE_ML_supplement_users,-24.701697808343763
mae,standard,168.15651496820882,Preprocessor1_Model1,170.924853515625,5898,taxaHFE_ML_supplement_users,-1.6196231797051666
mae,standard,146.65969585317458,Preprocessor1_Model1,171.62549804687498,6124,taxaHFE_ML_supplement_users,-14.546674286638716
mae,standard,153.08929666666666,Preprocessor1_Model1,167.043642578125,6135,taxaHFE_ML_supplement_users,-8.353712656219173
mae,standard,149.80746150049606,Preprocessor1_Model1,155.850634765625,6142,taxaHFE_ML_supplement_users,-3.8775416437776573
mae,standard,146.63507535714282,Preprocessor1_Model1,157.215908203125,6204,taxaHFE_ML_supplement_users,-6.730128628148495
